,Feature,Bal_Binary_DT,Bal_Binary_RF,Bal_Binary_XGB,Bal_Multiclass_DT,Bal_Multiclass_RF,Bal_Multiclass_XGB
10,Feature_11,"('Flow_Bytes_Sec', 0.02277214974108104)","('ACK_Flag_Count', 0.026265088717895433)","('RST_Flag_Count', 0.0101544615)","('Flow_Duration', 0.024752554491820976)","('Flow_Pkts_Sec', 0.025191823330587816)","('Pkt_Size_Mean', 0.0041611446)"
11,Feature_12,"('Fwd_Subflow_Pkts', 0.020823785474854292)","('Pkt_Length_Max', 0.02496480064328182)","('Flow_IAT_Min', 0.009637122)","('Bwd_Init_Win_Bytes', 0.02235577115674247)","('Bwd_Pkt_Length_Max', 0.02508521894754167)","('Fwd_Pkt_Length_Min', 0.004040074)"
12,Feature_13,"('Fwd_Act_Data_Pkt', 0.014721225385066681)","('Pkt_Size_Mean', 0.024250372678761546)","('Fwd_Init_Win_Bytes', 0.009420332)","('URG_Flag_Count', 0.02194804479553256)","('Fwd_Pkt_Length_Mean', 0.024965472783951642)","('Bwd_Pkt_Length_Min', 0.0039553903)"
13,Feature_14,"('Flow_IAT_Min', 0.013512099000031755)","('Fwd_Pkt_Length_Max', 0.02215362635317341)","('CWE_Flag_Count', 0.007814851)","('Fwd_Pkt_Length_Mean', 0.021257600993466203)","('Pkt_Length_Max', 0.024951535340703428)","('Fwd_Pkt_Length_Max', 0.0033834619)"
14,Feature_15,"('CWE_Flag_Count', 0.010506247499368902)","('Fwd_Segment_Size_Mean', 0.021890220706716222)","('Pkt_Length_Min', 0.0078089046)","('Flow_IAT_Min', 0.021017449811931592)","('Flow_Duration', 0.023541284859418032)","('Fwd_Seg_Size_Min', 0.0033318726)"
15,Feature_16,"('Flow_IAT_Mean', 0.007128004477019986)","('Bwd_Pkt_Length_Min', 0.021117329962551428)","('URG_Flag_Count', 0.0061160447)","('Flow_IAT_Mean', 0.0190601715492704)","('Pkt_Length_Var', 0.023360922092819012)","('Fwd_Total_Pkts', 0.0031212545)"
16,Feature_17,"('Bwd_Subflow_Pkts', 0.0024851601737897718)","('Flow_IAT_Min', 0.01980097051974047)","('Flow_Bytes_Sec', 0.0059895376)","('Fwd_Seg_Size_Min', 0.01704680977989219)","('Fwd_Subflow_Bytes', 0.023261186950333385)","('Fwd_Pkt_Length_Std', 0.0029567243)"
17,Feature_18,"('Pkt_Length_Var', 0.0022133137642274562)","('Bwd_IAT_Max', 0.01926784696970642)","('Bwd_Init_Win_Bytes', 0.005961349)","('Fwd_Total_Bytes', 0.016423012654521084)","('Fwd_Pkt_Length_Max', 0.023085862242800063)","('Pkt_Length_Max', 0.0028869626)"
18,Feature_19,"('Fwd_Subflow_Bytes', 0.0014905411630510728)","('Fwd_IAT_Min', 0.01824462946564)","('UDP', 0.004866496)","('Flow_IAT_Std', 0.014497563128202263)","('Fwd_IAT_Mean', 0.022476959031868245)","('Fwd_IAT_Min', 0.0027568808)"
19,Feature_20,"('Bwd_IAT_Max', 0.0012030437136095055)","('PSH_Flag_Count', 0.017557291566884712)","('Fwd_IAT_Total', 0.004557249)","('Fwd_Pkt_Length_Min', 0.013203437135442581)","('Flow_Bytes_Sec', 0.02224641307214859)","('Flow_Bytes_Sec', 0.0023389538)"
20,Feature_21,"('Fwd_IAT_Mean', 0.0007932832555073825)","('Pkt_Length_Mean', 0.017498953167525987)","('Fwd_Pkt_Length_Max', 0.0031200605)","('Fwd_Act_Data_Pkt', 0.012761263508791951)","('Flow_IAT_Std', 0.022238516318203838)","('Bwd_Total_Pkts', 0.0022238665)"
21,Feature_22,"('Fwd_PSH_Flags', 0.0006945579576929761)","('Fwd_Pkt_Length_Mean', 0.01728375367201088)","('Bwd_IAT_Min', 0.0030974555)","('Flow_Pkts_Sec', 0.012487967938409734)","('Fwd_Total_Bytes', 0.021349836721781573)","('Pkt_Length_Mean', 0.0018856622)"
22,Feature_23,"('Flow_IAT_Std', 0.000635809581305032)","('Fwd_Pkts_Sec', 0.017220788058560837)","('Time_Active_Mean', 0.0027871425)","('Fwd_IAT_Mean', 0.011926232799834305)","('Bwd_Pkt_Length_Mean', 0.020864649191198854)","('Fwd_Init_Win_Bytes', 0.0018618649)"
23,Feature_24,"('Bwd_IAT_Min', 0.0006148310052983343)","('Flow_IAT_Mean', 0.016573082462431457)","('Flow_Pkts_Sec', 0.0023064553)","('Fwd_Pkts_Sec', 0.010550392083347189)","('Fwd_IAT_Min', 0.020497595932593583)","('RST_Flag_Count', 0.0018145062)"
24,Feature_25,"('PSH_Flag_Count', 0.0004906659475450243)","('Bwd_IAT_Mean', 0.016513060355243005)","('Bwd_IAT_Std', 0.0022217978)","('Fwd_Total_Pkts', 0.00950300337096098)","('Bwd_Pkts_Sec', 0.02000462778606251)","('Fwd_IAT_Total', 0.0016229665)"
25,Feature_26,"('Bwd_IAT_Std', 0.00048218452153182183)","('Bwd_Init_Win_Bytes', 0.01622063759258435)","('Flow_IAT_Std', 0.0019120711)","('Pkt_Size_Mean', 0.009329705552272308)","('Fwd_IAT_Max', 0.01969891400220526)","('Fwd_Header_Length', 0.0015771806)"
26,Feature_27,"('Fwd_Pkt_Length_Min', 0.00046824751839441467)","('Bwd_Header_Length', 0.01561716197687423)","('Flow_IAT_Mean', 0.0018924505)","('Time_Idle_Std', 0.007573911638387229)","('Flow_IAT_Min', 0.01957370073249643)","('Fwd_Pkt_Length_Mean', 0.0013486645)"
27,Feature_28,"('RST_Flag_Count', 0.00037015904727985836)","('URG_Flag_Count', 0.015252824352207749)","('Fwd_IAT_Std', 0.0018609957)","('Fwd_IAT_Max', 0.007336463610331248)","('ACK_Flag_Count', 0.017939181626428616)","('Down_Up_Ratio', 0.0011254593)"
